entity_name,address,floor,borough,state,zip,aed_num_person_trained,aed_num_aeds,latitude,longitude,community_district,council_district,census_tract_2010,nta_code,bbl,bin,location_point
VIP Community Services - Metro Inn Hotel,144-36 153 LANE,-,Queens,New York,11434,8,2,40.66607916,-73.78497351,413,31,30600,QN03,4150000056,4535984,POINT (-73.78497351 40.66607916)
Herbert Von King Recreation Center,670 Lafayette Ave.,1,Brooklyn,New York,11216,2,1,40.69038688,-73.94676915,303,36,26300,BK75,3017900001,3049973,POINT (-73.94676915 40.69038688)
Brooklyn Prospect Charter - Clinton Hill Middle School,1104 Fulton Street,4thFloor Outside Elevators,Brooklyn,New York,11238,12,1,40.68132781,-73.95667336,303,36,22700,BK69,3020160030,3000000,POINT (-73.95667336 40.68132781)
Wildlife Conservation Society,2300 SOUTHERN BOULEVARD,BZ SFGH Coat Closet,Bronx,New York,10460-,20,1,40.85053675,-73.88245508,227,15,33400,BX99,2031200020,2116700,POINT (-73.88245508 40.85053675)
"Vornado Office Management, LLC",14 EAST 14 STREET,Lobby,Manhattan,New York,10003,7,1,40.73567673,-73.9928662,102,2,6100,MN23,1005717501,1009403,POINT (-73.9928662 40.73567673)
P.S. 084 Jose De Diego,250 Berry Street,MAIN ENTRANCE,Brooklyn,New York,11249,25,1,40.71477782,-73.96300032,301,34,55100,BK73,3023910001,3062766,POINT (-73.96300032 40.71477782)
P.S. 261 Philip Livingston,314 Pacific Street,Main Entrance next to School Safety,Brooklyn,New York,11201,11,1,40.68745899,-73.98828843,302,33,4300,BK38,3001880014,3001070,POINT (-73.98828843 40.68745899)
Manhattan Academy for Arts and Language,111 East 33 Street,Room 526,Manhattan,New York,10016,8,1,40.74616865,-73.98124058,105,4,7200,MN20,1008897501,1087537,POINT (-73.98124058 40.74616865)
Ezra Jack Keats Pre-K Center at 83-30 Kew Gardens Road (Q608),83-30 Kew Gardens Road,main entrance,Queens,New York,11415,6,1,40.70987217,-73.82717793,409,29,13800,QN60,4033560030,4080142,POINT (-73.82717793 40.70987217)
Pathways to Graduation @ Mary Mitchell Family & Children's Center (X989),2007 Mapes Avenue,Office,Bronx,New York,10460,2,1,40.84474183,-73.88714954,206,15,37100,BX17,2031060028,2012934,POINT (-73.88714954 40.84474183)
